product_id,brand,product_name,market_category,transformation_family,transformation_subtype,fold_mechanism,fold_architecture,compacting_motion,deployment_state,review_status,release_year,price_usd,display_size_in,mass_g,deployed_length_mm,deployed_width_mm,deployed_height_mm,folded_length_mm,folded_width_mm,folded_height_mm,compression_ratio,claimed_fold_cycles,certification_or_standard,primary_materials,primary_use_case,region_or_market,portability_gain_score,mechanism_novelty_score,market_availability_score,evidence_quality_score,measurement_completeness_score,certification_relevance_score,foldability_score,price_usd_per_score,source_type,source_url,normalized_source_url,source_domain,remarks,missing_measurements
logitech-casa-pop-up-desk,Logitech,Casa Pop-Up Desk,portable workstation,collapsible,frame-assisted-collapse,case-to-stand fold,folding book-like laptop stand kit,case conversion into ergonomic stand,commercial,canonical_seed,2023.0,179.99,,,,,,,,,,,,"fabric case, keyboard, touchpad, stand",compact home-office workstation,various,4.0,3.5,4.0,4.0,0.455,1.0,3.311,54.36,official product page,https://www.logitech.com/en-us/shop/p/casa-pop-up-desk,https://logitech.com/en-us/shop/p/casa-pop-up-desk,logitech.com,Desk kit packs into a book-like case.,"mass_g, deployed_length_mm, deployed_width_mm, deployed_height_mm, folded_length_mm, folded_width_mm, folded_height_mm, compression_ratio, claimed_fold_cycles, certification_or_standard"
closca-loop-helmet,Closca,Loop Helmet,urban mobility safety,collapsible,segmented-shell-collapse,collapsible telescoping rings,nested shell segments,telescoping shell collapse,commercial,canonical_seed,2019.0,,,,,,,,,,1.82,,helmet safety certification claimed,"EPS, polycarbonate",bike and scooter helmet,various,3.8,4.0,4.0,4.0,0.909,5.0,3.715,,official product page,https://closca.com/en-us/products/loop-aurora-abyss,https://closca.com/en-us/products/loop-aurora-abyss,closca.com,Collapsible safety product with a nested shell concept.,"price_usd, mass_g, deployed_length_mm, deployed_width_mm, deployed_height_mm, folded_length_mm, folded_width_mm, folded_height_mm, claimed_fold_cycles"
fend-fend-one-helmet,FEND,FEND One Helmet,urban mobility safety,collapsible,segmented-shell-collapse,patented smart-fold shell,segmented collapsible helmet,segmented shell folding,commercial,canonical_seed,2020.0,119.0,,,,,,,,,2.0,,"US CPSC, EU EN1078","ABS, PC, EPS","bike, e-bike, scooter, skateboard helmet",various,4.2,4.2,4.5,4.0,1.364,5.0,3.995,29.79,official product page,https://fend.io/products/fend-helmet,https://fend.io/products/fend-helmet,fend.io,Folds by about 50 percent for bag storage.,"mass_g, deployed_length_mm, deployed_width_mm, deployed_height_mm, folded_length_mm, folded_width_mm, folded_height_mm, claimed_fold_cycles"
microsoft-surface-arc-mouse,Microsoft,Surface Arc Mouse,computer peripheral,foldable,snap-flexure-fold,snap-flat flexure body,curved flexible shell,elastic curvature reversal,commercial,canonical_seed,2017.0,89.99,,,,,,,,,,,,"polymer shell, electronics",portable pointing device,various,3.5,3.5,5.0,4.5,0.455,1.0,3.431,26.23,official product page,https://www.microsoft.com/en-us/d/surface-arc-mouse-black/8nr554s5qxn7,https://microsoft.com/en-us/d/surface-arc-mouse-black/8nr554s5qxn7,microsoft.com,Snaps flat for travel and arcs for use.,"mass_g, deployed_length_mm, deployed_width_mm, deployed_height_mm, folded_length_mm, folded_width_mm, folded_height_mm, compression_ratio, claimed_fold_cycles, certification_or_standard"
asus-zenbook-17-fold-oled,ASUS,Zenbook 17 Fold OLED,foldable computer,foldable,flexible-display-fold,folding flexible OLED display,17.3 inch book-fold OLED computer,controlled-radius flexible display fold,commercial,canonical_seed,2022.0,,17.3,,,,,,,,,30000.0,Intel Evo,"flexible OLED, hinge, computing hardware",portable large-screen computing,various,4.0,5.0,3.5,4.5,0.909,1.5,3.686,,official press release,https://www.asus.com/us/news/s7pu8a5n2p8gfrpi/,https://asus.com/us/news/s7pu8a5n2p8gfrpi,asus.com,Official release cites 17.3 inch OLED and hinge testing.,"price_usd, mass_g, deployed_length_mm, deployed_width_mm, deployed_height_mm, folded_length_mm, folded_width_mm, folded_height_mm, compression_ratio"
lenovo-thinkpad-x1-fold,Lenovo,ThinkPad X1 Fold,foldable computer,foldable,flexible-display-fold,folding flexible OLED display,book-fold display with hinge spine,controlled-radius flexible display fold,commercial,canonical_seed,2020.0,,16.3,,,,,,,,,,,"flexible OLED, hinge, computing hardware",portable computer and tablet workstation,various,4.0,5.0,3.5,4.5,0.0,1.0,3.555,,official product page,https://www.lenovo.com/us/en/thinkpad-x1-fold/,https://lenovo.com/us/en/thinkpad-x1-fold,lenovo.com,Foldable OLED PC with multiple use modes.,"price_usd, mass_g, deployed_length_mm, deployed_width_mm, deployed_height_mm, folded_length_mm, folded_width_mm, folded_height_mm, compression_ratio, claimed_fold_cycles, certification_or_standard"
audio-technica-ath-m50x,Audio-Technica,ATH-M50x,foldable headphones,foldable,headphone-hinge-fold,collapsible fold-flat studio-monitor headphone hinge,wired over-ear monitor headphone with 90 degree swiveling earcups,earcup swivel and hinge folding for transport,commercial,canonical_seed,,,,,,,,,,,,,,"polymer, metal hinge hardware, acoustic drivers",portable professional monitoring and listening,US and international,3.8,2.6,4.8,4.5,0.0,1.5,3.304,,official product page,https://www.audio-technica.com/en-eu/ath-m50x,https://audio-technica.com/en-eu/ath-m50x,audio-technica.com,Official page describes 90 degree swiveling earcups and a collapsible fold-flat form for travel.,"price_usd, mass_g, deployed_length_mm, deployed_width_mm, deployed_height_mm, folded_length_mm, folded_width_mm, folded_height_mm, compression_ratio, claimed_fold_cycles, certification_or_standard"
audio-technica-ath-m50xbt2,Audio-Technica,ATH-M50xBT2,foldable headphones,foldable,headphone-hinge-fold,fold-flat studio-monitor headphone hinge,wireless over-ear monitor headphone with 90 degree swiveling earcups,earcup swivel and hinge folding for storage,commercial,canonical_seed,,,,,,,,,,,,,,"polymer, metal hinge hardware, acoustic drivers, electronics",portable studio-monitor-style wireless listening,US and international,3.8,2.6,4.5,4.5,0.0,1.5,3.253,,official press release,https://www.audio-technica.com/en-us/press/audio-technica-updates-flagship-wireless-ath-m50x-model-with-ath-m50xbt2-wireless-over-ear-headphones/,https://audio-technica.com/en-us/press/audio-technica-updates-flagship-wireless-ath-m50x-model-with-ath-m50xbt2-wireless-over-ear-headphones,audio-technica.com,Official Audio-Technica press release describes fold-flat design with 90 degree swiveling earcups.,"price_usd, mass_g, deployed_length_mm, deployed_width_mm, deployed_height_mm, folded_length_mm, folded_width_mm, folded_height_mm, compression_ratio, claimed_fold_cycles, certification_or_standard"
beats-solo-4,Beats,Solo 4,foldable headphones,foldable,headphone-hinge-fold,folding on-ear headphone hinge,compact on-ear wireless headphone with foldable travel form,earcup and headband hinge folding,commercial,canonical_seed,,,,,,,,,,,,,,"polymer, metal hinge hardware, acoustic drivers, electronics",portable everyday wireless listening,US and international,4.0,2.6,5.0,4.5,0.0,1.5,3.394,,official product page,https://www.beatsbydre.com/headphones/solo4-wireless,https://beatsbydre.com/headphones/solo4-wireless,beatsbydre.com,Official page describes a compact foldable design with soft protective case; useful on-ear headphone baseline.,"price_usd, mass_g, deployed_length_mm, deployed_width_mm, deployed_height_mm, folded_length_mm, folded_width_mm, folded_height_mm, compression_ratio, claimed_fold_cycles, certification_or_standard"
jabra-elite-85h,Jabra,Elite 85h,foldable headphones,foldable,headphone-hinge-fold,rotating earcup fold-to-off mechanism,over-ear wireless headphone with fold-state power behavior,earcup rotation into folded storage state,commercial or legacy commercial,canonical_seed,,,,,,,,,,,,,,"polymer, metal hinge hardware, acoustic drivers, electronics",portable active-noise-cancelling listening,US and international,3.7,3.0,3.4,4.2,0.0,1.5,3.06,,official support page,https://www.jabra.com/supportpages/jabra-elite-85h/100-99030004-02/faq/how-do-i-turn-on_off-my-jabra-elite-85h,https://jabra.com/supportpages/jabra-elite-85h/100-99030004-02/faq/how-do-i-turn-on_off-my-jabra-elite-85h,jabra.com,"Official support page links earcup rotation and folded state to power behavior, making it mechanism-relevant.","price_usd, mass_g, deployed_length_mm, deployed_width_mm, deployed_height_mm, folded_length_mm, folded_width_mm, folded_height_mm, compression_ratio, claimed_fold_cycles, certification_or_standard"
marshall-major-v,Marshall,Major V,foldable headphones,foldable,headphone-hinge-fold,rugged foldable on-ear headphone hinge,on-ear wireless headphone with compact storage geometry,earcup and headband hinge folding,commercial,canonical_seed,,,,,,,,,,,,,,"polymer, metal hinge hardware, acoustic drivers, electronics",portable on-ear wireless listening,US and international,4.2,2.8,4.7,4.7,0.0,1.5,3.473,,official product page,https://www.marshall.com/us/en/product/major-v,https://marshall.com/us/en/product/major-v,marshall.com,Officially positioned as a foldable on-ear headphone design; strong canonical seed for compact headphone geometry.,"price_usd, mass_g, deployed_length_mm, deployed_width_mm, deployed_height_mm, folded_length_mm, folded_width_mm, folded_height_mm, compression_ratio, claimed_fold_cycles, certification_or_standard"
sony-wh-1000xm4,Sony,WH-1000XM4,foldable headphones,foldable,headphone-hinge-fold,swivel foldable over-ear headphone hinge,over-ear wireless noise-cancelling headphone with travel hinge geometry,earcup swivel inward into compact carrying case,commercial,canonical_seed,,,,,,,,,,,,,,"polymer, metal hinge hardware, acoustic drivers, electronics",portable active-noise-cancelling listening,US and international,3.9,2.8,4.7,4.5,0.0,1.5,3.353,,official product page,https://www.sony.com/lr/electronics/headband-headphones/wh-1000xm4,https://sony.com/lr/electronics/headband-headphones/wh-1000xm4,sony.com,Official page describes a swivel foldable structure where earcups swivel inward for compact case packing.,"price_usd, mass_g, deployed_length_mm, deployed_width_mm, deployed_height_mm, folded_length_mm, folded_width_mm, folded_height_mm, compression_ratio, claimed_fold_cycles, certification_or_standard"
brompton-c-line,Brompton,C Line,folding bicycle,foldable,rigid-hinge-fold,multi-joint frame fold,hinged steel bicycle frame,rigid-body frame folding,commercial,canonical_seed,1975.0,1720.0,,11299.0,,,,,,,,,,"steel frame, drivetrain, wheels",multimodal urban transportation,various,5.0,4.0,5.0,4.5,0.909,2.0,4.071,422.5,official product page,https://us.brompton.com/c-line,https://us.brompton.com/c-line,us.brompton.com,Canonical commercial folding bicycle benchmark.,"deployed_length_mm, deployed_width_mm, deployed_height_mm, folded_length_mm, folded_width_mm, folded_height_mm, compression_ratio, claimed_fold_cycles, certification_or_standard"
